Blog	time	started	ve	so	what	re	if	way	week	or	every	few	one	back	they	about	world	where	end	up	after	years	year	me	last	first	not	because	had	some	great	has	when	our	company	he	his	why	them	other	their	here	do	your	don	who	then	no	google	two	us	d	lot	part	never	before	over	people	very	make	most	out	good	have	today	been	think	my	next	still	like	will	may	could	called	all	these	get	best	trump	find	post	read	long	would	things	now	doesn	can	even	into	just	little	well	used	big	media	there	going	which	its	should	be	more	than	much	take	ll	off	around	made	go	money	see	any	down	show	she	know	want	say	love	own	old	life	work	only	many	need	m	another	something	said	site	too	through	data	right	might	also	real	use	day	service	place	those	did	while	news	were	open	come	story	better	video	her
Signal v. Noise	4	3	4	2	3	7	4	1	2	3	1	1	13	2	3	5	1	1	1	1	1	2	3	2	2	1	1	2	3	1	1	1	2	1	4	4	1	1	2	2	1	1	3	5	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	3	0	0	2	8	2	5	2	3	4	2	1	5	1	9	10	3	1	1	2	3	0	2	4	0	0	6	2	2	3	0	3	6	3	1	5	7	1	4	6	2	3	5	4	6	7	2	3	0	1	1	1	2	0	6	1	4	7	2	2	4	2	1	10	1	4	2	5	0	3	5	10	1	2	2	5	2	6	1	5	1	3	1	2	4	2	3	2	7	4	2	7	2	2	2	3	1	7	2	1	4	2	8	8	3	2	1	2	1	4	1	3	3	1	2	1	1	1	4	2	2	2	2	1	3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Battelle's Search Blog	4	0	8	3	2	1	2	0	2	1	0	4	1	1	0	4	0	1	0	2	0	3	3	4	2	2	3	2	1	3	0	2	2	5	3	0	0	6	0	1	1	5	1	1	1	2	0	0	0	1	2	0	0	1	2	0	5	0	1	0	0	0	0	10	2	7	0	10	0	2	2	2	1	0	0	0	2	0	1	0	0	1	0	0	1	2	3	0	1	0	0	1	0	2	0	0	3	2	0	0	2	0	1	1	1	1	0	2	0	1	0	0	0	2	0	0	0	0	1	0	2	0	1	0	1	2	0	2	0	4	0	1	1	2	1	2	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	0	0	0	3	0	1	3	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	0	2	2	10	2	3	0	0	0	1	1	0	3	1	0	4	2	1	2	2	5	3	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0	1	2	0	1	3	0	0	0	3	2	0	3	1	2	0	0	1	1	0	0	0	0	12	0	0	1	0	0	2	1	1	1	0	0	0	1	0	1	5	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	2	1	0	4	0	0	0	0	2	0	0	0	0	2	3	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	4	0	4	7	6	5	8	1	0	7	1	1	13	3	7	9	1	1	0	3	0	1	0	4	0	2	5	5	3	3	0	1	4	3	0	2	1	0	4	4	4	2	3	8	4	5	3	6	28	3	1	2	0	0	1	0	1	3	1	3	3	2	0	5	1	4	0	7	1	0	6	1	1	1	1	5	1	5	4	0	3	2	2	1	11	1	4	0	10	4	3	6	0	2	2	0	0	5	2	5	1	0	4	4	1	4	1	6	0	2	2	1	0	4	3	1	1	0	2	2	0	2	0	0	0	1	2	0	2	2	2	2	2	4	2	1	0	1	0	2	0	3	3	6	2	3	1	1	1	1	2	1	0	0	0	0
RSS feed – Search Engine Watch	1	0	1	0	0	2	3	0	0	7	0	1	2	0	0	1	1	1	0	5	0	0	3	0	0	10	0	2	0	0	0	1	2	2	1	0	0	0	0	0	0	5	0	14	0	0	0	2	16	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	3	3	5	0	1	10	0	0	0	0	1	0	4	1	0	0	4	0	0	0	0	1	0	1	1	4	3	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ABC News: BLOTTER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigaom	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gizmodo	1	0	0	3	8	3	5	0	2	1	0	0	5	4	1	4	1	0	0	4	5	1	7	0	4	4	0	2	1	3	1	3	1	2	8	2	3	3	1	0	2	6	2	1	3	2	0	2	3	1	2	0	1	2	0	0	4	4	0	3	3	6	1	9	1	3	0	0	2	0	2	2	1	1	1	2	2	3	6	0	0	0	24	1	0	0	4	0	3	5	2	5	1	0	2	0	1	6	0	0	17	0	8	32	3	0	1	0	1	2	1	0	0	1	1	0	2	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	2	1	0	0	0	2	6	0	1	0	1	2	4	0	1	3	0	0	0
The Official Google Blog	28	9	21	23	20	38	26	7	7	62	6	6	28	5	43	34	17	11	10	32	7	2	11	6	7	15	7	2	9	9	7	16	25	66	6	5	8	2	22	10	46	11	12	107	10	18	13	5	93	8	17	7	4	10	5	6	12	33	1	19	10	24	1	38	18	10	4	22	5	4	36	32	4	6	4	20	18	28	14	0	12	3	1	2	3	2	21	1	92	17	25	14	2	8	8	5	7	21	3	27	17	4	43	81	10	3	9	20	5	16	4	7	0	24	5	5	5	3	7	6	4	1	15	1	8	20	5	7	5	4	6	2	4	3	2	17	11	8	5	39	4	26	23	6	2	8	2	10	21	5	8	4	4	15	9	9
